shortname,fullname,summary,category_path
an-entire-mba-in-1-courseaward-winning-business-school-prof,"An Entire MBA in 1 Course:Award Winning Business School Prof","** #1 Best Selling Business Course! ** Everything You Need to Know About Business from Start-up to IPO","business"
the-complete-sql-bootcamp,"The Complete SQL Bootcamp 2020: Go from Zero to Hero","Become an expert at SQL!","business"
the-complete-financial-analyst-course,"The Complete Financial Analyst Course 2020","Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!","business"
pmp-pmbok6-35-pdus,"PMP Exam Prep Seminar - PMBOK Guide 6","PMP Exam Prep Seminar - Earn 35 PDUs by completing the entire PMP course","business"
tableau10,"Tableau 2020 A-Z: Hands-On Tableau Training for Data Science","Learn Tableau 2020 for data science step by step. Real-life data analytics exercises & quizzes included. Learn by doing!","business"
php-for-beginners,"PHP for Beginners","Build a Content Management System from Scratch with PHP and MySQL","business"
php-laravel-beginners,"PHP with Laravel for beginners - Become a Master in Laravel","Learn to master Laravel to make advanced applications like the real CMS app we build on this course","business"
understand-javascript,"JavaScript: Understanding the Weird Parts","An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.","business"
react-the-complete-guide-incl-redux,"React - The Complete Guide (incl Hooks, React Router, Redux)","Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more!","business"
modern-javascript-from-the-beginning,"Modern JavaScript From The Beginning","Learn and build projects with pure JavaScript (No frameworks or libraries)","business"
react-redux-tutorial,"Advanced React and Redux","Walkthroughs on advanced React v16.6.3 and Redux v4.0.0 - Authentication, Testing, Middlewares, HOC's, and Deployment","business"
node-with-react-fullstack-web-development,"Node with React: Fullstack Web Development","Build and deploy fullstack web apps with NodeJS, React, Redux, Express, and MongoDB","business"
object-oriented-php-mvc,"Object Oriented PHP & MVC","Build a custom object oriented PHP MVC framework and then build an application with it","business"
the-complete-angular-master-class,"The Complete Angular Course: Beginner to Advanced","The most comprehensive Angular 4 (Angular 2+) course. Build a real e-commerce app with Angular, Firebase and Bootstrap 4","business"
