shortname,fullname,summary,category_path
adobe-photoshop-cc-essentials-training-course,"Adobe Photoshop CC – Essentials Training Course","This Adobe Photoshop Essentials course will teach you Photoshop Retouching as well as Photoshop for graphic design.","design / graphic-design / photoshop"
photoshop-cc-masterclass,"Photoshop CC 2020 MasterClass","Master the World's Best Imaging and Design Application and Become an Adobe Certified Associate.","design / graphic-design / photoshop"
learn-photoshop-web-design-profitable-freelancing,"Learn Photoshop, Web Design & Profitable Freelancing","Learn Photoshop and use it to create amazing website designs and create a high, stable income. No coding needed!","design / graphic-design / photoshop"
adobe-photoshop-cc-advanced-training-course-tutorial,"Adobe Photoshop CC – Advanced Training Course","You'll learn advanced Photoshop techniques like Photoshop retouching & Graphic Design tutorials.","design / graphic-design / photoshop"
adobe-photoshop-course,"Adobe Photoshop CC: Your Complete Beginner to Advanced Class","Learn the essential tools of Adobe Photoshop CC to jump right in and design beautiful graphics and photos in Photoshop.","design / graphic-design / photoshop"
ultimate-photoshop-training-from-beginner-to-pro,"Ultimate Photoshop Training: From Beginner to Pro","Master Photoshop CC 2020 without any previous knowledge with this easy-to-follow course","design / graphic-design / photoshop"
ui-ux-web-design-using-adobe-xd,"User Experience Design Essentials - Adobe XD UI UX Design","Use XD to get a job in UI Design, User Interface, User Experience design, UX design & Web Design","design / user-experience / user-experience-design"
ux-web-design-master-course-strategy-design-development,"UX & Web Design Master Course: Strategy, Design, Development","Learn how to apply User Experience (UX) principles to your website designs, code a variety of sites, and increase sales!","design / user-experience / user-experience-design"
user-experience-design-the-accelerated-ux-course,"User Experience Design: Complete UX Fundamentals Course","Understand User Experience Design ( UX ) to begin designing web and mobile apps to keep your users engaged and happy.","design / user-experience / user-experience-design"
learn-real-world-ux,"Become a UX Designer | Learn the Skills & Get the Job","UX based on real world examples. Gain powerful UX skills you can use to start a UX career or improve your projects.","design / user-experience / user-experience-design"
